Title,Authors,URL,1_ML_Algorithm,1_Detection_domain,1_Open_source,1_Safety/security,2_Training_data,2_Anomaly_generation,Injected,2_Data_size,2_Collection_date,2_AV_level,3_Testing_metrics,3_Detection_latency,Dataset,Simulation,Comments,Links,Performance,,
On the Performance of Detecting Injection of Fabricated Messages into the CAN Bus,L. b. Othmane and L. Dhulipala and M. Abdelkhalek and N. Multari and M. Govindarasu,https://core.ac.uk/download/pdf/323173443.pdf,"K-Means Clustering, Hidden Markov Model",CAN,NA,Security,Real-world,"Collected logs of the CAN bus for three scenarios: No injection attack, injection of fabricated speed reading and injection of fabricated RPM reading.",Random injections,"23963, 88492, 30308 CAN messages respectively",NA,NA,"Recall, FPR, Accuracy",NA,NA,NA,,,,,
An Efficient Hidden Markov Model For Anomaly Detection In CAN Bus Networks,S. Boumiza and R. Braham,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8903789,Hidden Markov Model,CAN,NA,Security,Real-world,The anomalies were generated by an attacker who gained access to the in-vehicle network and transmitted malicious messages,Attacking while recording the log,NA,NA,NA,"FPR, Recall",NA,NA,NA,"The data was obtained from a 2012 Sebura Impreza, where CAN traffic was captured over a period of several months ",,,,
An Artificial Neural Network Based Anomaly Detection Method in CAN Bus Messages in Vehicles,A. Paul and M. R. Islam,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9528201,Artificial Neural Network,CAN,NA,Security,Real-world,The anomalies were generated through two types of attacks: Denial of Service (DoS) and Fuzzy attacks.,Attacking while recording the log,"In the DoS Attack dataset, there are 656,579 attacked messages. In the Fuzzy Attack dataset, there are 591,990 attacked messages.",NA,NA,"Accuracy, Precision, Recall, F1-score, AUC",NA,OTIDS,NA,,,DoS A P R F1 1. Fuzzy: A P R F1 0.9998,,
Interpretable Anomaly Detection Using A Generalized Markov Jump Particle Filter,G. Slavic and P. Marin and D. Martin and L. Marcenaro and C. Regazzoni,https://www.researchgate.net/profile/Giulia-Slavic/publication/351992591_Interpretable_Anomaly_Detection_Using_A_Generalized_Markov_Jump_Particle_Filter/links/61966d753068c54fa5fd45a6/Interpretable-Anomaly-Detection-Using-A-Generalized-Markov-Jump-Particle-Filter.pdf,Generalized Markov Jump Particle Filter,Vehicle Sensors,NA,Safety,Real-world,No information about anomaly generation.,NA,NA,NA,NA,Accuracy,NA,"iCab, UAH-DriveSet",NA,,https://ocslab.hksecurity.net/Dataset/CAN-intrusion-dataset,A 0.733 ,,
DeepADV: A Deep Neural Network Framework for Anomaly Detection in VANETs,T. Alladi and B. Gera and A. Agrawal and V. Chamola and F. R. Yu,https://ieeexplore.ieee.org/abstract/document/9541028,Deep Learning,VANETs,NA,Security,Simulation,The anomalies were generated based on various types of fault and attack messages,Attacking while recording the log,NA,NA,NA,"Precision, Recall, Accuracy, F1-score",NA,VeReMi,"OMNET++, SUMO",,https://github.com/josephkamel/VeReMi-Dataset,"A .980, R .956, P .996, F1 .976",,
A Temporal Anomaly Detection System for Vehicles utilizing Functional Working Groups and Sensor Channels,S. Neupane and I. A. Fernandez and W. Patterson and S. Mittal and S. Rahimi,https://arxiv.org/pdf/2209.06828.pdf,Temporal Convolutional Networks,Vehicle Sensors,NA,Safety,Real-world,Anomalies were generated synthetically by modifying the sensor data in the test set. The modifications were bounded within -1.0 and 1.0.,Random injections,NA,2012-2014,NA,"Accuracy, Recall, FPR",NA,VePRO,NA,The training data is based on real-world scenarios. The data was collected from a fleet of 70+ vehicles over a period of 2 years.,,,,
An Anomaly Detector for CAN Bus Networks in Autonomous Cars based on Neural Networks,S. Boumiza and R. Braham,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8923315,Multi-Layer Perceptron,CAN,NA,Security,Real-world,The anomalies or attacks in the system were generated by a hacker who has gained access to the in-vehicle network. The hacker can see all messages transmitted on the bus due to the CAN specifications. The paper focuses on two types of attacks: frequency-appearance modification and data-content modification.,Attacking while recording the log,NA,NA,NA,ROC,NA,NA,NA,The training data used for the anomaly detection model in this paper was obtained from a 2012 Subaru Impreza car. The authors captured 24 hours of CAN traffic over a period of several months. The data is based on real-world scenarios,,,,
Real-Time Sensor Anomaly Detection and Identification in Automated Vehicles,F. van Wyk and Y. Wang and A. Khojandi and N. Masoud,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8684317,Convolutional Neural Network,Vehicle Sensors,NA,Safety,Simulation,Anomalies were generated by introducing different types of faults into the sensor data,Random injections,NA,NA,NA,"Recall, F1-score, Accuracy, Precision",NA,SPMD,NA,,,"Constant : A 0.953, R 0.87, P 0.934, F1 0.901. Instant: A  0.997, R 0.992, P 0.998, F1 0.995 ",,
Protecting ECUs and Vehicles Internal Networks,P. Sharma and D. P. F. Möller,https://www.researchgate.net/profile/Priyanka-Sharma-86/publication/328486660_Protecting_ECUs_and_Vehicles_Internal_Networks/links/5f216a10458515b729f06dba/Protecting-ECUs-and-Vehicles-Internal-Networks.pdf,Deep Learning,"CAN, ECUs",NA,Both,Real-world,"This dataset includes DoS attack, fuzzy attack, and impersonation attack and attack-free states.",Attacking while recording the log,NA,NA,NA,Accuracy,NA,OTIDS,NA,"The article mentions the use of the CAN Dataset for intrusion detection (OTIDS) by Hacking and Countermeasure Research Lab for training the model. This dataset includes DoS attack, fuzzy attack, and impersonation attack and attack-free states. The datasets were constructed by logging CAN traffic.",,NA,,
Anomaly Detection Based Image Feature Matching Under Vehicle-Infrastructure Viewpoint,J. Yu and Z. Chen and C. Wu,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9798488,Local Outlier Factor,Image,NA,Safety,Real-world,No information on anomaly generation.,NA,NA,NA,NA,Precision,NA,NA,NA,,,,,
DAD: A Distributed Anomaly Detection framework for future In-vehicle network,E. Gherbi and B. Hanczar and J. -C. Janodet and W. Klaudel,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9988392,Deep Learning,CAN,NA,Safety,Simulation,Randomly inserted by author.,Random injections,NA,NA,NA,"Precision, Recall, F1-score",NA,SynCAN,NA,"The training data used in this paper is synthetic data proposed in the SynCAN dataset. The dataset consists of 10 different message IDs, each with varying amounts of signals per ID and different noisy time frequencies. The total number of signals is 20. The data is created in such a way that it is similar to real CAN traffic. It contains physical values (signals), timestamps, and IDs. The dataset was used for about 16.5 hours of training and about 7.5 hours of testing CAN traffic",https://github.com/etas/SynCAN,"P 0.995, R 0.998, F1 0.997",,
Long Short-Term Memory Neural Network-Based Attack Detection Model for In-Vehicle Network Security,Z. Khan and M. Chowdhury and M. Islam and C. -Y. Huang and M. Rahman,https://www.researchgate.net/profile/Zadid-Khan-2/publication/341314830_Long_Short-Term_Memory_Neural_Network-Based_Attack_Detection_Model_for_In-Vehicle_Network_Security/links/5ef0cc4492851ce9e7fb07ba/Long-Short-Term-Memory-Neural-Network-Based-Attack-Detection-Model-for-In-Vehicle-Network-Security.pdf,Long Short-Term Memory,CAN,NA,Security,Real-world,The anomalies in the paper were generated by creating two types of attacks: replay attack and amplitude-shift attack. ,Attacking while recording the log,"Dataset 1: 190,400 timestamps, 317,318 timestamps",NA,NA,"Precision, Recall, Accuracy, AUPRC",NA,NA,NA,"The training data used in this paper is based on two attack-free in-vehicle Controller Area Network (CAN) bus datasets (Dataset-I and Dataset-II). The Dataset-I, containing attack-free CAN data from a KIA soul, was collected by the Hacking and Countermeasure Research Lab (HCRL). The Dataset-II is a processed CAN bus dataset collected from the AEGIS big data project repository. The raw CAN dataset is decoded using a generic DBC (Database CAN) file for KIA vehicles collected from the OpenDBC repositor",,,,
Anomaly Detection in Connected and Automated Vehicles using an Augmented State Formulation,Y. Wang and N. Masoud and A. Khojandi,https://arxiv.org/pdf/2004.09496.pdf,Estimation-based,Vehicle Sensors,NA,Security,Real-world,The anomalies are randomly generated with a 5% anomaly rate and injected into the raw dataset using an algorithm.,Random injections,NA,NA,NA,"AUC, ROC",NA,SPMD,NA,"The dataset used is based on the Safety Pilot Model Deployment (SPMD) program funded by the US Department of Transportation, and collected in Michigan. ",,AUC 0.984,,
Detecting Low-Rate Replay-Based Injection Attacks on In-Vehicle Networks,S. Katragadda and P. J. Darby and A. Roche and R. Gottumukkala,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9035504,Mining-based,CAN,NA,Security,Real-world,"Anomalies were generated through injection attacks on the CAN bus. These attacks include dominant ID replay injection, random ID replay injection, and sequence replay injections.",Attacking while recording the log,NA,NA,NA,"Precision, Recall, F1-score",NA,NA,NA,,,,,
An Evolutionary Deep Learning-Based Anomaly Detection Model for Securing Vehicles,A. Kavousi-Fard and M. Dabbaghjamanesh and T. Jin and W. Su and M. Roustaei,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9170806,Generative Adversarial Networks,ECUs,NA,Both,Real-world,No information on anomaly generation.,NA,NA,NA,NA,"Recall, FPR, Specificity, FNR",NA,NA,NA,,,,,
Deep Convolutional Autoencoder for Assessment of Drive-Cycle Anomalies in Connected Vehicle Sensor Data,A. Geglio and E. Hedayati and M. Tascillo and D. Anderson and J. Barker and T. C. Havens,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10022233,Autoencoder,Vehicle Sensors,NA,Safety,Real-world,No information on anomaly generation.,NA,NA,NA,NA,"Accuracy, Recall, F1-score",NA,NA,NA,,,,,
Detection of Automotive CAN Cyber-Attacks by Identifying Packet Timing Anomalies in Time Windows,A. Tomlinson and J. Bryans and S. A. Shaikh and H. K. Kalutarage,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8416254,Statistics-based,CAN,NA,Security,Simulation,"The anomalies were generated through simulated attacks. For each attack, 20 attack points were created in the captured log file at randomly chosen time-points. Two types of attacks were simulated: dropped broadcasts and injected packets.",Simulated attacks,"Four journeys, totaling 127 minutes, were logged over a two-week period, and covered a range of typical driving conditions to capture a representative spectrum of situations and CAN behaviors.",NA,NA,"Accuracy, Recall, Specificity",NA,NA,NA,Not ML algorithms. ,,,,
AI-Empowered Trajectory Anomaly Detection and Classification in 6G-V2X,G. Raja and M. Begum and S. Gurumoorthy and D. S. Rajendran and P. Srividya and K. Dev and N. M. F. Qureshi,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9863890,Deep Deterministic Policy Gradient,V2X,NA,Both,Simulation,No information on anomaly generation.,NA,NA,NA,NA,"Precision, Recall, Accuracy, FPR",NA,NA,"OMNET++, SUMO","No ML algorithm, but proposes something called: Efficient Trajectory
Anomaly Detection and Classification.",,,,
Deep-Learning-Based Anomaly Detection for Lane-Changing Decisions,S. -L. Wang and C. Lin and S. Boddupalli and C. -W. Lin and S. Ray,http://sandip.ece.ufl.edu/publications/iv22.pdf,"Deep Learning, Long Short-Term Memory",Lane Detection,NA,Safety,Simulation,Anomalies were generated by adding an offset vector to the acceleration features of at least one vehicle.,Anomalies were generated,"The training data and testing data are collected with 800,000 simulation steps and 10,000 simulation steps, respectively.",NA,NA,"Precision, Recall, F1-score",NA,NA,"SUMO, HighD",The training data is based on both simulated and real-world scenarios. The authors used the Simulation of Urban MObility (SUMO) platform and the HighD dataset.,,,,
Attacker Identification and Intrusion Detection for In-Vehicle Networks,J. Ning and J. Wang and J. Liu and N. Kato,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8811570,Local Outlier Factor,CAN,NA,Security,Real-world,"The anomalies were generated through three types of attacks: physical attack, remote attack, and bus-off attack. These attacks were conducted on two real vehicles.",Attacking while recording the log,"1,000 manual simulation abnormal trajectories to the collected 18,000 trajectory segments, we get a data set containing 19,000 trajectories",NA,NA,Recall,NA,NA,NA,No information on evaluation metrics,,,,
Misbehaviour Prediction for Autonomous Driving Systems,A. Stocco and M. Weiss and M. Calzana and P. Tonella,https://arxiv.org/pdf/1910.04443.pdf,"Autoencoder, Long Short-Term Memory",Image,https://github.com/testingautomated-usi/selforacle/,Safety,Simulation,Anomalies were generated by injecting anomalous driving contexts into the system.,Random injections,765 labeled simulation-based collision and out-of-bound episodes,NA,NA,"Recall, FPR, Precision, F1-score",6000ms,NA,Udacity Simulator,The training data for the model was based on nominal driving scenarios. The authors used these scenarios to train their driving scenario reconstructor.,,,,
Deep Neural Networks for Securing IoT Enabled Vehicular Ad-Hoc Networks,T. Alladi and A. Agrawal and B. Gera and V. Chamola and B. Sikdar and M. Guizani,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9500823,"Convolutional Neural Network, Long Short-Term Memory",VANETs,NA,Both,Simulation,"The anomalies in this study were generated based on the VeReMi Extension dataset, which considers 19 different attack and fault types and 1 normal vehicle data type. The anomalies include both faults and attacks. ",NA,NA,NA,NA,"Accuracy, Precision, Recall, F1-scores",NA,VeReMi,NA,"The training data used in this study is based on the VeReMi Extension dataset, which considers 19 different attack and fault types and 1 normal vehicle data type. ",,"A .980, R .956, P .996, F1 .976",,
In-Vehicle Network Intrusion Detection and Explanation Using Density Ratio Estimation,D. Tanaka and M. Yamada and H. Kashima and T. Kishikawa and T. Haga and T. Sasaki,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8917300,"Density Ratio Estimation, Neural Network",CAN,NA,Security,Real-world,Random injections into the dataset,Random injections,NA,NA,NA,ROC-AUC,NA,NA,NA,,,,,
MTH-IDS: A Multitiered Hybrid Intrusion Detection System for Internet of Vehicles,L. Yang and A. Moubayed and A. Shami,https://arxiv.org/pdf/2105.13289.pdf,"Decision Tree, Extra Trees, Extreme Gradient Boosting, Bayesian Optimisation, K-Means clustering","CAN, V2X",https://github.com/Western-OC2-Lab/Intrusion-Detection-System-Using-Machine-Learning,Both,Both,The anomalies were generated through various types of cyber-attacks launched on both intra-vehicle and external vehicular networks,Anomalies were generated,NA,NA,NA,"Accuracy, Recall, FPR, F1-score",NA,CICIDS2017,NA,,,,,
Evaluation of the Architecture Alternatives for Real-Time Intrusion Detection Systems for Vehicles,M. Jedh and J. K. Lee and L. i. B. Othmane,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10062358,"Local Outlier Factor, Long Short-Term Memory",CAN,NA,Both,Real-world,The anomalies or malicious packets were generated as part of attacks on the in-vehicle networks. The paper does not provide specific details on how these anomalies were generated.,Attacking while recording the log,NA,NA,NA,ROC-AUC,NA,Othmane Dataset,NA,,https://ieee-dataport.org/documents/injection-rpm-and-speed-reading-messages-can-bus-moving-vehicle-0,,,
Multimodal Detection of Unknown Objects on Roads for Autonomous Driving,D. Bogdoll and E. Eisen and M. Nitsche and C. Scheib and J. M. Zöllner,https://arxiv.org/pdf/2205.01414.pdf,Density-Based Spatial Clustering of Applications with Noise,"LiDAR, Image",https://github.com/daniel-bogdoll/unknown_objects_roads,Safety,Real-world,Anomalies were generated through a pipeline that goes through all the algorithms proposed in the paper.,Anomalies were generated,NA,NA,NA,NA,NA,Waymo Open Perception Dataset,NA,"The system was trained and tested on the Waymo Open Dataset, which is a large-scale, diverse, high-resolution dataset for autonomous driving. It includes high-resolution sensor data collected by Waymo self-driving cars in a wide variety of conditions. No metrics were shown,",https://waymo.com/open/download/,,,
Anomaly Detection in Vehicle-to-Infrastructure Communications,M. Russo and M. Labonne and A. Olivereau and M. Rmayti,https://hal-cea.archives-ouvertes.fr/cea-01888831/file/Russo2018.pdf,"Long Short-Term Memory, Multilayer Perceptron",V2I,NA,Both,Real-world,The anomalies were generated through a series of attacks on the vehicle's data. Artificially injected to 50% of the dataset.,Random injections,650 thousand packets collected during approximately 7 hours of driving.,NA,NA,"Recall, FPR",NA,NA,NA,"The data was captured within a 2010 Toyota Prius 3 vehicle, equipped with components for automated/cooperative driving and standard vehicle sensors. The final dataset contains almost 650 thousand packets collected during approximately 7 hours of driving.",,,,
A Unified Anomaly Detection Methodology for Lane-Following of Autonomous Driving Systems,X. Han and K. Chen and Y. Zhou and M. Qiu and C. Fan and Y. Liu and T. Zhang,https://d1wqtxts1xzle7.cloudfront.net/86098855/21-ispa-libre.pdf?1652858976=&response-content-disposition=inline%3B+filename%3DA_Unified_Anomaly_Detection_Methodology.pdf&Expires=1686237599&Signature=IwWUR5yg59biwbrSmcf9SFg9ITp7qVoJGWr5u3cWsFXT3bzhOmKgYt4-TyQyELryW5APc6mSr~gWzps-NrHSYkgnG5Kf8~MZFNVinaNLvGUKm1ifbbMqCXvib9THWd6LHbwT~CPqHxp~f3lHY1RS3k13BDrw-X7mxC7LBjgJdOJzn~bZH4ZddiEGmZUFVHPhKjvFDbgGrwpY9qSpwCZTA96c8v3muSmVKTWbZAnr-MxzvavmgB73wvqg4pHKDj6ql~0WWBlLJ8fMAELJt4KA0jJFRuMfyBNakg6kI4RXs3YTT3fBNpQ8kU1K-qVY90zmEygduCB73pWtjLB7pesBOQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,Transformer with Gradient Penalty,Lane Detection,NA,Security,Real-world,"Anomalies were generated by implementing GPS attacks in the LGSVL simulator, which can cause severe fluctuation of the IMU data generated by the Multi-Sensor Fusion (MSF) component in Apollo. ",Attacking while recording the log,NA,NA,NA,"Precision, Recall, F1-score, AUC",NA,NA,LGSVL,,,,,
Driving Behavior Assessment and Anomaly Detection for Intelligent Vehicles,C. Yang and A. Renzaglia and A. Paigwar and C. Laugier and D. Wang,https://inria.hal.science/hal-02355809/document,Statistics-based,Lane Detection,NA,Safety,Simulation,The anomalies or abnormal behaviors were generated in a simulated environment using the CARLA urban driving simulator. Non-ego vehicles were designed to drive forward with  degrees of randomness in steering angle .,Simulated attacks,NA,NA,NA,NA,NA,NA,CARLA,"The training data for the algorithm is based on simulated scenarios generated with the CARLA urban driving simulator. This is motivated by the fact that obtaining real data for abnormal driving can be unsafe. Furthermore, the detection pipeline is only based on two sensors: LiDAR and wheel odometer. No evaluation.",,,,
Optimal State Estimation for Systems Driven by Jump–Diffusion Process With Application to Road Anomaly Detection,Z. Li and I. V. Kolmanovsky and U. V. Kalabić and E. M. Atkins and J. Lu and D. P. Filev,https://www.egr.msu.edu/rival/Paper/JDP_journal.pdf,Mathematics-based,Image,NA,Safety,Real-world,"The anomalies were generated naturally in the real-world driving environment. Large disturbance jumps, such as those caused by potholes or speed bumps, were identified as anomalies.",Real-world collection,NA,NA,NA,NA,NA,NA,NA,Evaluation metrics not included,,,,
Location Anomalies Detection for Connected and Autonomous Vehicles,X. Wang and I. Mavromatis and A. Tassi and R. Santos-Rodriguez and R. J. Piechocki,https://arxiv.org/pdf/1907.00811.pdf,Autoencoder,GPS,NA,Both,Simulation,"The anomalies were generated by simulating a number of Connected Autonomous Vehicles (CAVs) as hacked and forcing them to report random wrong locations. In this process, inaccessible areas for CAVs, like buildings, grass-areas, and rivers, were avoided to increase the reasonableness of samples. ",Simulated attacks,8 datasets with 1000 samples each,NA,NA,"ROC, AUC",NA,NA,"OMNET++, SUMO","The model was trained and tested on simulation data generated by OMNeT++, a modified INET framework, and SUMO traffic generator",,,,
An Unsupervised TinyML Approach Applied for Pavement Anomalies Detection Under the Internet of Intelligent Vehicles,P. Andrade and I. Silva and G. Signoretti and M. Silva and J. Dias and L. Marques and D. G. Costa,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9488546,Edge Computing-based,Image,NA,Safety,Real-world,"The anomalies are detected based on the total acceleration data collected from the vehicles, using the TEDA algorithm. ",NA,NA,NA,NA,"Precision, Recall, F1-score",NA,NA,NA,,,,,
Anomaly Detection in Cooperative Adaptive Cruise Control Using Physics Laws and Data Fusion,F. Alotibi and M. Abdelhakim,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8891165,Physics-based,CACC,NA,Security,Simulation,"Anomalies were generated by the platoon leader sending falsified information, specifically by manipulating the acceleration field in beacon messages.",Anomalies were generated,NA,NA,NA,"FPR, Accuracy, Recall",0.318ms,NA,VENTOS,The data used for evaluation is generated using VENTOS (Vehicular Network Open Simulator),,,,
Experiments on Anomaly Detection in Autonomous Driving by Forward-Backward Style Transfers,D. Bogdoll and M. Zhang and M. Nitsche and J. M. Zöllner,https://arxiv.org/pdf/2207.06055.pdf,"Generative Adversarial Networks, Neural Style Transfer",Image,NA,Safety,Real-world,The anomalies were generated using the forward style transfer method. An input image chosen from the Fishyscapes dataset was used as the input.,Anomalies were generated,NA,NA,NA,NA,NA,"KITTI, Cityscapes",NA,"The training data should reflect normality in road traffic, so the KITTI dataset and the Cityscapes dataset were used. For the evaluation, datasets with anomalies were necessary, so the Fishyscapes and Lost and Found datasets were used, which include both real and augmented anomalies",https://www.cvlibs.net/datasets/kitti/,Does not provide,,
Structural inpainting of road patches for anomaly detection,A. Munawar and C. Creusot,https://www.mva-org.jp/Proceedings/2015USB/papers/05-03.pdf,Higher-order Boltzmann machine,Image,NA,Safety,Real-world,"The anomalies are detected by comparing the predictions with the actual observations. The system learns to inpaint the road patches with commonly occurring road features such as lane markings and expansion dividers, depending on the context. The system does not consider these frequent road artifacts as anomalies and significantly reduces the number of obstacle candidates.",Real-world collection,100 000 unique samples from 2000 VGA images,NA,NA,MSE,NA,NA,NA,,,,,
vProfile: Voltage-Based Anomaly Detection in Controller Area Networks,N. Liu and C. Moreno and M. Dunne and S. Fischmeister,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9474106,Voltage-based,CAN,NA,Security,Real-world,"Anomalies were generated by injecting arbitrary messages into the CAN bus using a device called Kvaser, which acted as a third ECU. In some tests, each message's Sender Address (SA) was changed to one that belongs to another cluster with a 20% chance, simulating a situation where every ECU can imitate every other ECU.",Random injections,"The paper mentions that 350 messages imitating ECU 0 and 350 messages imitating ECU 1 were injected, so a total of 700 anomalies were generated.",NA,NA,"Precision, Recall",NA,NA,NA,,,,,
Prediction of DoS attacks in external communication for self-driving vehicles using a fuzzy petri net model,K. M. A. Alheeti and A. Gruebler and K. D. McDonald-Maier and A. Fernando,https://repository.essex.ac.uk/18129/1/Prediction%20of%20DoS%20Attacks%20Accepted.pdf,Logic-based,VANETs,NA,Security,Simulation,No information on anomaly generation.,NA,NA,NA,NA,Accuracy,NA,NA,NS2,,,,,
Direct Imaging of Stabilized Optical Flow and Possible Anomalies From Moving Vehicle,S. Ando and T. Kindo,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9868197,Mathematics-based,Image,NA,Safety,Real-world,The anomalies were generated by introducing different types of disturbances in the optical flow.,Random injections,NA,NA,NA,NA,NA,NA,NA,No metrics because there is no ML model,,,,
MLIDS: Handling Raw High-Dimensional CAN Bus Data Using Long Short-Term Memory Networks for Intrusion Detection in In-Vehicle Networks,A. K. Desta and S. Ohira and I. Arai and K. Fujikawa,https://www.researchgate.net/profile/Kibrom-Desta-2/publication/349164824_MLIDS_Handling_Raw_High-Dimensional_CAN_Bus_Data_Using_Long_Short-Term_Memory_Networks_for_Intrusion_Detection_in_In-Vehicle_Networks/links/60521e3a92851cd8ce4b373a/MLIDS-Handling-Raw-High-Dimensional-CAN-Bus-Data-Using-Long-Short-Term-Memory-Networks-for-Intrusion-Detection-in-In-Vehicle-Networks.pdf,Long Short-Term Memory,CAN,https://github.com/dstkibbrom/MLIDS,Security,Real-world,"Anomalies were generated through simulated attacks, including insertion attacks, drop attacks, and fuzzy attacks.",Simulated attacks,"The data was collected from a real vehicle for about 14 hours, totaling 36 million packets. ",NA,NA,"Recall, Precision, F1-score",NA,NA,NA,,,,,
"Detection and Isolation of Sensor Attacks for Autonomous Vehicles: Framework, Algorithms, and Validation",Y. Wang and Q. Liu and E. Mihankhah and C. Lv and D. Wang,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9430762,Statistics-based,Vehicle Sensors,NA,Security,Real-world,The paper suggests that anomalies could be generated by introducing inconsistencies or deviations in the sensor data.,Random injections,NA,NA,NA,Accuracy,NA,NA,NA,,,,,
In-Vehicle Network Intrusion Detection System Based on Bi-LSTM,D. Ding and L. Zhu and J. Xie and J. Lin,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9778620,Long Short-Term Memory,CAN,NA,Security,Real-world,"The anomalies were generated by manually injecting attack messages into the in-vehicle data. The authors do not provide specific details about the methods used to generate these anomalies, but they mention that the attack data was self-injected after the data was collected",Random injections,NA,NA,NA,"Accuracy, AUC, Recall, Precision, FNR, ER, F1-score",NA,NA,NA,,,,,
Intrusion Detection for in-vehicle CAN Networks Based on Auxiliary Classifier GANs,M. Chen and Q. Zhao and Z. Jiang and R. Xu,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9658465,Generative Adversarial Networks,CAN,NA,Security,Real-world,The anomalies in this study were generated using the Auxiliary Classifier Generative Adversarial Network (ACGAN). The generator in the ACGAN was used to generate unknown samples.,Anomalies were generated,"The dataset includes 3,142 training data and 197 testing data",NA,NA,Accuracy,NA,NA,NA,,,,,
Radar Fault Detection via Camera-Radar Branches Learning Network,D. Ning and D. S. Han,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10067071,Convolutional Neural Network,Radar,NA,Safety,Real-world,"The anomalies or abnormal signals were generated using two methods. The first method, referred to as Generator 1, involves creating abnormal data from the collected data of the same vehicle with similar angle information. The second method, referred to as Generator 2, involves generating abnormal data that is outside the normal range and can add noise, such as the additive white gaussian noise (AWGN) signal. ",Anomalies were generated,NA,NA,NA,Accuracy,NA,NA,NA,"The dataset was collected on the Kyungpook National University (KNU) campus with equipment from Continental SRR 208-21 radar, which is a 24 GHz short range radar.",,,,
Safety Monitoring of Neural Networks Using Unsupervised Feature Learning and Novelty Estimation,A. Ranjbar and S. Hornauer and J. Fredriksson and S. X. Yu and C. -Y. Chan,https://hal.science/hal-03937000/document,Convolutional Neural Network,Image,NA,Safety,Real-world,No information on anomaly generation.,NA,NA,NA,NA,AUROC,NA,"CIFAR-100, BDD100k",NA,"The training data used in this study is based on real-world scenarios. The authors used the BDD100k dataset, which is a diverse driving video dataset collected from different geographic locations, at different times of the day, and under various weather conditions.",,AUROC .79 ,,
Anomaly Detection of Cyber Physical Network Data Using 2D Images,M. R. Moore and J. M. Vann,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8662084,Convolutional Neural Network,CAN,NA,Both,Real-world,The anomalies were generated by altering the Controller Area Network (CAN) bus data to represent a compromised Electronic Control Unit (ECU). The authors simulated a spoofing attack where the actual values are offset by some predetermined scaling factor. This was done to represent a situation where a vehicle is experiencing a cyber-attack aimed at stopping the vehicle by spoofing one or more wheel-speed commands.,Simulated attacks,NA,NA,NA,Accuracy,NA,NA,NA,,,,,
Optimised Structure of Convolutional Neural Networks for Controller Area Network Classification,S. -F. Lokman and A. T. Bin Othman and M. -H. Abu-Bakar,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8687274,Convolutional Neural Network,CAN,NA,Safety,Real-world,Anomalies were randomly injected.,Random injections,"133,189 packets",NA,NA,"AUC, ROC",NA,OTIDS,NA,,,NA,,
CAN-BERT do it? Controller Area Network Intrusion Detection System based on BERT Language Model,N. Alkhatib and M. Mushtaq and H. Ghauch and J. -L. Danger,https://arxiv.org/pdf/2210.09439.pdf,Bidirectional Encoder Representations from Transformers,CAN,NA,Security,Real-world,No information on anomaly generation.,Attacking while recording the log,NA,NA,NA,"F1-score, Precision, Recall",0.8ms-3ms,Car Hacking: Attack & Defense Challenge 2020 Dataset,NA,,https://ocslab.hksecurity.net/Datasets/carchallenge2020,,,
